epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,5942.46,0.68962,0.52213,0.98077,0.89194,0.86185,0.91665,0.75121,0.75267,0.51004,1.04038,0.0030205,0.0030205,0.0030205
143,5984.01,0.6847,0.51107,0.98387,0.89042,0.86421,0.91761,0.75443,0.7424,0.50637,1.03409,0.002971,0.002971,0.002971
144,6026.04,0.67952,0.50025,0.97658,0.89392,0.85944,0.91725,0.75552,0.73282,0.50897,1.03397,0.0029215,0.0029215,0.0029215
145,6068.25,0.68123,0.50755,0.97639,0.88452,0.86743,0.91554,0.75315,0.73986,0.5045,1.03438,0.002872,0.002872,0.002872
146,6109.97,0.68872,0.50649,0.97813,0.89732,0.85358,0.91771,0.75556,0.73736,0.50295,1.03353,0.0028225,0.0028225,0.0028225
147,6151.59,0.67685,0.49938,0.97956,0.88324,0.86894,0.91776,0.75571,0.73742,0.49601,1.03814,0.002773,0.002773,0.002773
148,6193.6,0.67387,0.50457,0.97846,0.88879,0.86675,0.91722,0.75488,0.74047,0.50019,1.04009,0.0027235,0.0027235,0.0027235
149,6235.15,0.6698,0.49863,0.97014,0.8861,0.86753,0.91747,0.75584,0.73796,0.50327,1.03728,0.002674,0.002674,0.002674
150,6276.57,0.67292,0.49559,0.97585,0.8882,0.86685,0.91726,0.75464,0.74184,0.51034,1.04228,0.0026245,0.0026245,0.0026245
151,6318.18,0.66791,0.49749,0.97572,0.90093,0.85735,0.9162,0.75584,0.73813,0.51435,1.03931,0.002575,0.002575,0.002575
152,6359.79,0.67087,0.49587,0.97438,0.89324,0.86124,0.91477,0.75507,0.74021,0.52495,1.04012,0.0025255,0.0025255,0.0025255
153,6401.32,0.66805,0.49152,0.96802,0.88898,0.86164,0.91413,0.75483,0.74177,0.52674,1.03839,0.002476,0.002476,0.002476
154,6442.95,0.65551,0.48977,0.9701,0.87878,0.86852,0.91337,0.7561,0.73928,0.52713,1.03836,0.0024265,0.0024265,0.0024265
155,6484.52,0.65746,0.48272,0.96681,0.88652,0.86367,0.91513,0.75817,0.73187,0.52077,1.03521,0.002377,0.002377,0.002377
156,6526.23,0.66493,0.48463,0.96765,0.88748,0.86726,0.9149,0.75689,0.73311,0.52349,1.03276,0.0023275,0.0023275,0.0023275
157,6567.8,0.66698,0.49029,0.97128,0.89416,0.86083,0.91384,0.75747,0.73116,0.5217,1.03148,0.002278,0.002278,0.002278
158,6609.46,0.66106,0.48079,0.96417,0.89277,0.85924,0.91391,0.75819,0.72972,0.52266,1.02877,0.0022285,0.0022285,0.0022285
159,6651.25,0.6608,0.48183,0.96652,0.89067,0.86221,0.91429,0.75767,0.73061,0.52396,1.02799,0.002179,0.002179,0.002179
160,6692.95,0.65886,0.47923,0.96706,0.88741,0.8635,0.9138,0.75738,0.73141,0.5214,1.02963,0.0021295,0.0021295,0.0021295
161,6734.63,0.64908,0.47982,0.96332,0.89097,0.86192,0.91448,0.75875,0.73053,0.51826,1.03208,0.00208,0.00208,0.00208
162,6776.39,0.64323,0.46973,0.9641,0.89158,0.85967,0.91482,0.75841,0.72805,0.51891,1.03226,0.0020305,0.0020305,0.0020305
163,6818.18,0.65018,0.47323,0.96048,0.90451,0.84936,0.91439,0.75714,0.72786,0.52426,1.03004,0.001981,0.001981,0.001981
164,6859.98,0.6462,0.4686,0.96093,0.89148,0.86122,0.91424,0.75913,0.72461,0.52363,1.02663,0.0019315,0.0019315,0.0019315
165,6901.8,0.65507,0.47246,0.96435,0.88975,0.86464,0.91348,0.75829,0.72985,0.52638,1.02873,0.001882,0.001882,0.001882
166,6943.32,0.64165,0.46642,0.95625,0.89305,0.86259,0.91311,0.75833,0.72569,0.52348,1.02561,0.0018325,0.0018325,0.0018325
167,6985.04,0.64066,0.46987,0.95965,0.89433,0.86298,0.91341,0.75845,0.72412,0.52536,1.02415,0.001783,0.001783,0.001783
168,7027.09,0.64048,0.46398,0.95839,0.89298,0.86436,0.91384,0.75886,0.72527,0.5253,1.0239,0.0017335,0.0017335,0.0017335
169,7068.7,0.64422,0.46387,0.95635,0.89443,0.86304,0.91406,0.75918,0.72159,0.5216,1.02221,0.001684,0.001684,0.001684
170,7110.43,0.63645,0.46134,0.95791,0.89596,0.8622,0.91386,0.75898,0.71885,0.51675,1.02207,0.0016345,0.0016345,0.0016345
171,7151.88,0.63731,0.46377,0.95548,0.89966,0.85919,0.91346,0.75853,0.71791,0.51889,1.02106,0.001585,0.001585,0.001585
172,7193.6,0.63272,0.45984,0.95615,0.89453,0.86384,0.91295,0.75766,0.72105,0.52106,1.02341,0.0015355,0.0015355,0.0015355
173,7235.25,0.64008,0.46058,0.95615,0.89966,0.85721,0.91323,0.75885,0.71979,0.51854,1.02527,0.001486,0.001486,0.001486
174,7276.86,0.63255,0.45923,0.95571,0.90949,0.85095,0.91364,0.75955,0.71822,0.51973,1.02521,0.0014365,0.0014365,0.0014365
175,7318.7,0.63175,0.46125,0.95434,0.90432,0.85565,0.9129,0.75993,0.7178,0.52123,1.02658,0.001387,0.001387,0.001387
176,7360.42,0.62288,0.44828,0.946,0.90896,0.85172,0.91313,0.76026,0.71635,0.52048,1.02712,0.0013375,0.0013375,0.0013375
177,7402.14,0.62915,0.45656,0.95024,0.90643,0.85374,0.91346,0.75996,0.71906,0.52188,1.02844,0.001288,0.001288,0.001288
178,7443.87,0.62319,0.44853,0.94943,0.90727,0.85338,0.91307,0.76018,0.7175,0.52431,1.02909,0.0012385,0.0012385,0.0012385
179,7485.59,0.6211,0.44991,0.94986,0.89924,0.85817,0.91305,0.75942,0.71808,0.52458,1.02938,0.001189,0.001189,0.001189
180,7527.31,0.61961,0.44327,0.95289,0.89885,0.85798,0.9132,0.75954,0.71667,0.52533,1.02968,0.0011395,0.0011395,0.0011395
181,7569.05,0.62256,0.44954,0.9509,0.89852,0.85705,0.91272,0.75957,0.71738,0.52775,1.03136,0.00109,0.00109,0.00109
182,7610.57,0.6219,0.45197,0.95156,0.89377,0.86178,0.91266,0.75953,0.71744,0.53157,1.03178,0.0010405,0.0010405,0.0010405
